j,i,d,r
Å_urnal Nano- ta ElektronnoÃ¯ FÃ¬ziki,2077-6772,10-Jun-17,Journal not adhering to Best Practice
LLJournal,1930-1693,8-Jun-17,Journal not adhering to Best Practice
IngenierÃ_a y Desarollo,0122-3461,8-Jun-17,Journal not adhering to Best Practice
Tesis PsicolÃ_gica,1909-8391,23-Mar-17,Journal not adhering to Best Practice
Journal of Research in Dentistry,2317-5907,8-Jun-17,Journal not adhering to Best Practice
Medicina Legal de Costa Rica,1409-0015,8-Jun-17,Journal not adhering to Best Practice
Id Online: Revista de Psicologia,1981-1179,8-Jun-17,Journal not adhering to Best Practice
Revibec: Revista Iberoamericana de EconomÃ_a EcolÃ_gica,1390-2776,8-Jun-17,Journal not adhering to Best Practice
Signos HistÃ_ricos,1665-4420,8-Jun-17,Journal not adhering to Best Practice
Revista TradumÃ tica: TraducciÃ_ i Tecnologies de la InformaciÃ_ i la ComunicaciÃ_,1578-7559,8-Jun-17,Journal not adhering to Best Practice
HidrobiolÃ_gica,0188-8897,8-Jun-17,Journal not adhering to Best Practice
Magyar NyelvÅ‘r : a Magyar TudomÃ¡nyos AkadÃ©mia Anyanyelvi BizottsÃ¡gÃ¡nak FolyÃ_irata,0025-0236,8-Jun-17,Journal not adhering to Best Practice
Cuadernos de BioÃƒÂ©tica,1132-1989,8-Jun-17,Journal not adhering to Best Practice
Middle East : Topics & Arguments,2196-629X,7-Jun-17,Journal not adhering to Best Practice
NutriciÃ_n ClÃ_nica y DietÃ©tica Hospitalaria,0211-6057,6-Jun-17,Journal not adhering to Best Practice
Fisioterapia & SaÃºde Funcional,2238-8028,5-Jun-17,Journal not adhering to Best Practice
Problemi EkonomÃ¬ki,2222-0712,3-Jun-17,Journal not adhering to Best Practice
Revista Brasileira de Desenvolvimento Regional,2317-5443,3-Jun-17,Journal not adhering to Best Practice
Engenharia Ambiental: Pesquisa e Tecnologia,1678-2178,3-Jun-17,Journal not adhering to Best Practice
Estudos e Pesquisas em Psicologia,1676-3041,3-Jun-17,Journal not adhering to Best Practice
Revista GestÃ£o & Tecnologia,2177-6652,3-Jun-17,Journal not adhering to Best Practice
Journal of Applied Sociology,2322-343X,1-Jun-17,Journal not adhering to Best Practice
International Journal of Information Science and Management,2008-8310,1-Jun-17,Journal not adhering to Best Practice
Archives of CraniOrofacial Sciences,2321-9580,1-Jun-17,Journal not adhering to Best Practice
International Journal of Technology and Research,2307-4892,1-Jun-17,Journal not adhering to Best Practice
Journal of Advanced Laboratory Research in Biology,0976-7614,1-Jun-17,Inactive (has not published in the last calendar year)
Pharma Utility,2319-5894,1-Jun-17,Web site URL no longer works
Brazilian Research in Pediatric Dentistry and Integrated Clinic,1519-0501,1-Jun-17,Journal not adhering to Best Practice
Journal of Experimental and Integrative Medicine,1309-4572,31-May-17,Journal not adhering to Best Practice
Biology of Exercise,1791-325X,31-May-17,Journal not adhering to Best Practice
Hospital Chronicles,1792-9172,31-May-17,ceased publishing
"International Journal of Sport Management, Recreation & Tourism ",1791-874X,31-May-17,Journal not adhering to Best Practice
Cumhuriyet Medical Journal,1305-0028,31-May-17,Journal not adhering to Best Practice
Journal of Tekirdag Agricultural Faculty,,31-May-17,Journal not adhering to Best Practice
Themes in Science and Technology Education,1792-8788,31-May-17,Has not published enough articles this calendar year;
Emerging Health Threats Journal,1752-8550,30-May-17,Ceased publishing
Invertebrate Survival Journal,1824-307X,30-May-17,Journal not adhering to Best Practice
Acta Protozoologica,0065-1583,30-May-17,Journal not adhering to Best Practice
Polish Archives of Internal Medicine,0032-3772,30-May-17,Journal not adhering to Best Practice
Psychiatria Polska,0033-2674,30-May-17,Journal not adhering to Best Practice
Revista Portuguesa de Medicina Geral e Familiar,2182-5173,29-May-17,Journal not adhering to Best Practice
Cadernos de Arte e Antropologia,2238-0361,29-May-17,Journal not adhering to Best Practice
"Enl@ce Revista Venezolana de InformaciÃ_n, TecnologÃ_a y Conocimiento",1690-7515,29-May-17,Journal not adhering to Best Practice
Revista Cubana de Ciencias InformÃ¡ticas,1994-1536,29-May-17,Journal not adhering to Best Practice
Acta Neurobiologiae Experimentalis,0065-1400,28-May-17,Journal not adhering to Best Practice
Eastern-European Journal of Enterprise Technologies,1729-3774,28-May-17,Journal not adhering to Best Practice
Revista Cubana de IngenierÃ_a,2223-1781,25-May-17,Journal not adhering to Best Practice
Ciencias HolguÃ_n,1027-2127,25-May-17,Journal not adhering to Best Practice
Revista Debates,1982-5269,25-May-17,Journal not adhering to Best Practice
