issn,count,cited,citation
1932-6203,84715,66517,368755
0931-7597,45075,96,106
1662-7482,44484,3926,6086
2045-2322,36016,28210,163894
2046-2069,34900,29270,173544
1662-8985,30540,3149,4849
"0008-5472,1538-7445",23532,2895,19532
0735-1097,16225,2882,39625
"1742-6588,1742-6596",14275,3448,6509
1877-0428,14140,3773,6917
0016-5085,14117,2046,22343
1098-3015,13712,990,2596
"0003-4967,1468-2060",12579,1547,12056
"0036-8075,1095-9203",12561,4659,152655
0006-3495,12369,2013,10499
0022-5347,11811,1913,12073
"0003-6951,1077-3118",11711,10078,71235
1877-7058,11563,4487,9597
"0027-8424,1091-6490",11463,10377,154526
1756-1833,10807,2906,22953
"1359-7345,1364-548X",10634,10121,128836
"1944-8244,1944-8252",10274,9595,122247
"1932-7447,1932-7455",10042,9024,77677
1949-2553,10010,4846,25203
"1463-9076,1463-9084",9963,8857,69916
"0021-8979,1089-7550",9947,8007,39313
"1098-0121,1550-235X",9938,9341,82977
2041-1723,9880,9269,161031
0925-8388,9573,8650,59466
1094-4087,9569,8031,48873
0975-8887,9548,1123,1569
"0035-8711,1365-2966",9294,7940,72352
0094-2405,9214,1840,7540
0001-4966,9148,1862,5723
0360-3016,9086,1914,11435
"2314-6133,2314-6141",8965,6125,26119
0044-8249,8931,5460,42395
1433-7851,8916,6798,149065
"0732-183X,1527-7755",8444,2713,43193
1662-9795,8092,1366,2139
"0031-9007,1079-7114",8046,7523,116931
"0021-9258,1083-351X",7856,6691,44875
0947-6539,7765,5615,58002
"0002-7863,1520-5126",7730,7441,190405
1662-9752,7689,1456,2640
0167-8140,7643,1029,6946
"0028-0836,1476-4687",7631,5237,168262
"0021-9606,1089-7690",7619,6475,39611
"0065-0668,1543-8643",7592,282,315
1876-6102,7561,4576,14193
0169-4332,7470,6632,48382
"2050-7488,2050-7496",7456,7233,122987
0195-9131,7437,807,5723
"0974-5645,0974-6846",7218,591,755
1877-0509,7218,3005,6987
"0923-7534,1569-8041",7145,1134,10946
1538-4357,7126,6257,55824
1552-5260,7084,700,6217
0013-4686,7046,6462,57244
"1550-7998,1550-2368",7033,6493,62530
1479-6848,6918,34,36
0272-8842,6917,6089,37331
"0567-7572,2406-6168",6742,1029,1475
"1175-5334,1175-5326",6713,2355,4930
0167-5273,6669,4472,19922
0090-3493,6647,1468,12327
0360-3199,6584,5812,41576
0012-3692,6423,1200,8112
1029-8479,6409,5804,60455
"1477-9226,1477-9234",6349,5745,46065
"2040-3364,2040-3372",6344,5961,80300
0959-8049,6252,1210,9481
0924-9338,6216,457,1868
0140-6736,6157,3306,69826
0168-8278,6038,1729,18038
1664-1078,6000,3875,16096
1757-790X,5957,1276,1838
"0944-1344,1614-7499",5817,4149,18548
0048-9697,5814,5282,44146
0378-7753,5797,5236,69703
2328-8957,5780,419,1425
0016-5107,5682,1367,7048
0263-6352,5663,1006,5280
0167-577X,5648,4886,26675
"2278-4748,2278-4802",5633,99,110
1569-9056,5611,242,332
0025-7974,5607,3420,10445
2261-236X,5588,478,792
"1024-123X,1563-5147",5526,2294,4757
"2469-9950,2469-9969",5486,3942,13637
0006-291X,5479,4353,19843
"0004-6361,1432-0746",5439,4821,51260
"2039-9340,2039-2117",5436,149,168
"1757-8981,1757-899X",5429,989,1766
2405-8963,5408,1436,2396
1422-0067,5344,4262,24257
"1050-2947,1094-1622",5344,4854,33175
1534-7362,5296,885,2416
1424-8220,5182,3883,20162
"0013-936X,1520-5851",5176,4734,52438
0308-8146,5174,4830,44951
2100-014X,5146,1193,2357
2249-782X,5091,567,694
"0003-2700,1520-6882",5075,4719,55486
"0743-7463,1520-5827",5040,4578,35118
"1539-3755,1550-2376",4988,4398,25554
"1523-7060,1523-7052",4950,4740,60833
"1522-8517,1523-5866",4911,632,4364
0015-0282,4851,1508,9963
"0029-6570,2047-9018",4833,212,339
"0888-5885,1520-5045",4756,4043,25952
"0146-9592,1539-4794",4755,4035,24922
0091-6749,4704,1800,21388
0925-4005,4653,4392,46009
0960-8524,4651,4367,45605
0098-7484,4629,2268,46513
0040-4039,4621,4076,20495
0030-4026,4602,2512,7509
"2321-7308,2319-1163",4589,364,476
0002-9378,4572,1487,9334
"1520-6106,1520-5207",4557,3978,25570
"1439-3514,2197-621X",4546,0,0
1676-5680,4540,1954,3979
"0957-4522,1573-482X",4498,2686,7610
"0003-9888,1468-2044",4495,724,2988
0950-0618,4485,3764,22941
"0003-6935,1539-4522",4483,3056,10405
1420-3049,4457,3536,18329
1664-302X,4449,3452,19133
"0020-1669,1520-510X",4431,4090,38116
"2356-6140,1537-744X",4427,2753,8808
1385-8947,4371,4200,48195
"0268-3768,1433-3015",4331,2669,10017
0360-5442,4319,3919,34663
0021-9150,4318,1443,9684
0378-4274,4300,885,5692
0959-6526,4247,3876,34984
"0032-0943,1439-0221",4201,577,1659
"1791-2997,1791-3004",4178,1038,1415
"0022-3263,1520-6904",4151,3856,35970
"0270-6474,1529-2401",4135,3729,39886
0032-1052,4133,1739,8256
"1438-3276,1613-3560",4128,91,113
"1431-9276,1435-8115",4127,783,1880
1007-9327,4113,3361,20661
0306-2619,4113,3901,51322
"1944-3994,1944-3986",4106,2173,4954
"0021-4922,1347-4065",4084,2466,7839
"0034-6748,1089-7623",4080,2675,9602
0021-8995,4051,2663,8579
0925-2312,4049,3383,21613
2194-9034,4041,681,1229
0094-8276,4040,3510,25906
0924-977X,4031,671,4564
"2050-7526,2050-7534",4028,3753,37635
"1070-664X,1089-7674",4028,2996,13890
1664-462X,4020,3099,17175
"1936-0851,1936-086X",4004,3845,93745
1471-2458,3974,2986,14257
"1938-6737,1938-5862",3966,1276,2363
"0021-8561,1520-5118",3934,3498,22888
"0305-1048,1362-4962",3926,3387,46255
0935-9648,3910,3109,91940
0921-5093,3895,3428,21553
"1010-4283,1423-0380",3892,3026,13153
0741-5214,3888,1246,8052
1388-2457,3888,1030,6159
2193-1801,3875,1843,4948
0045-6535,3838,3418,25356
1359-4311,3836,3350,20617
"0044-2771,1439-7803",3817,136,376
2169-8287,3782,2167,5676
0016-2361,3756,3472,31377
"1089-5639,1520-5215",3743,3140,18810
"1477-0520,1477-0539",3735,3353,23911
"1460-2385,0931-0509",3729,132,903
"1792-1074,1792-1082",3722,670,842
1513-7368,3700,2702,10709
1386-1425,3690,3297,21518
1471-2164,3677,3106,22287
1053-2498,3675,833,6314
