@id,count
0000-992X,4
0001-0782,873
0001-0898,12
0001-1452,980
0001-1541,1248
0001-2092,985
0001-2785,645
0001-2815,417
0001-2998,166
0001-3072,75
0001-3455,126
0001-3765,571
0001-4192,138
0001-4273,270
0001-4338,330
0001-4346,648
0001-4370,302
0001-4575,1034
0001-4788,136
0001-4826,313
0001-4842,1002
0001-4966,9200
0001-5172,587
0001-5202,47
0001-5210,58
0001-527X,260
0001-5342,91
0001-5385,354
0001-5458,229
0001-5547,278
0001-5555,819
0001-5652,122
0001-5792,281
0001-5814,430
0001-5830,40
0001-5903,98
0001-5962,37
0001-5970,728
0001-6268,1071
0001-6314,490
0001-6322,420
0001-6349,715
0001-6357,294
0001-6373,168
0001-6446,93
0001-6454,70
0001-6489,694
0001-6519,259
0001-6810,93
0001-6829,56
0001-690X,445
0001-6918,484
0001-6969,127
0001-6993,113
0001-7019,109
0001-7051,25
0001-706X,924
0001-7213,178
0001-7272,122
0001-7310,679
0001-7701,520
0001-771X,74
0001-7817,87
0001-7868,348
0001-8244,193
0001-8325,6
0001-8392,142
0001-8678,331
0001-8686,422
0001-8708,1145
0001-8732,18
0001-8791,283
0001-9054,210
0001-9240,380
0001-9720,255
0001-9844,1843
0001-9852,1831
0001-9887,164
0001-9909,267
0001-9933,182
0002-0184,80
0002-0206,369
0002-0443,341
0002-0478,190
0002-0591,31
0002-0729,1302
0002-1466,101
0002-1482,314
0002-1873,99
0002-1962,779
0002-2144,24
0002-2667,218
0002-3329,229
0002-3337,233
0002-337X,647
0002-3388,231
0002-3515,217
0002-399X,74
0002-5232,158
0002-5240,149
0002-5275,101
0002-5658,18
0002-6980,112
0002-7014,159
0002-7162,258
0002-7189,346
0002-7294,890
0002-7316,313
0002-7642,261
0002-7685,474
0002-7766,67
0002-7820,1833
0002-7863,7845
0002-8177,918
0002-8207,51
0002-8282,843
0002-8312,123
0002-8320,53
0002-8444,61
0002-8487,355
0002-8614,2032
0002-8703,932
0002-8762,3314
0002-9092,405
0002-9114,115
0002-9122,614
0002-9149,3221
0002-9157,150
0002-9165,1259
0002-9173,1454
0002-919X,149
0002-9246,112
0002-9254,176
0002-9262,1248
0002-9270,1446
0002-9297,700
0002-9300,260
0002-9319,74
0002-9343,1566
0002-936X,1255
0002-9378,4808
0002-9394,1397
0002-9432,252
0002-9440,1032
0002-9459,495
0002-9483,667
0002-9505,554
0002-953X,861
0002-9548,175
0002-9556,161
0002-9599,105
0002-9602,575
0002-9610,1185
0002-9629,760
0002-9637,1566
0002-9645,470
0002-9831,213
0002-9890,521
0002-9920,362
0002-9939,1526
0002-9947,1010
0003-0007,589
0003-0031,177
0003-004X,847
0003-0082,78
0003-0090,26
0003-0139,154
0003-0147,539
0003-021X,537
0003-0279,424
0003-0554,199
0003-0651,386
0003-066X,496
0003-097X,139
0003-0996,345
0003-1062,29
0003-1224,158
0003-1232,137
0003-1283,74
0003-1305,228
0003-1488,1078
0003-150X,172
0003-1615,175
0003-2409,1205
0003-2417,386
0003-2468,49
0003-2565,120
0003-2638,335
0003-2654,2783
0003-2670,2101
0003-2697,1087
0003-2700,5125
0003-2719,806
0003-2778,830
0003-2999,2202
0003-3006,120
0003-3022,1764
0003-3170,355
0003-3197,460
0003-3219,519
0003-3472,1097
0003-3588,86
0003-3790,89
0003-3804,382
0003-3847,171
0003-3928,655
0003-4010,112
0003-4088,101
0003-4134,50
0003-4266,2900
0003-4347,139
0003-4436,69
0003-4452,14
0003-4487,612
0003-4509,174
0003-4541,127
0003-455X,103
0003-4746,250
0003-4800,126
0003-4819,2299
0003-486X,129
0003-4878,145
0003-4894,512
0003-4916,876
0003-4932,1678
0003-4967,12602
0003-4975,3763
0003-5033,81
0003-5440,20
0003-5459,39
0003-5521,113
0003-5548,99
0003-5599,324
0003-567X,59
0003-5696,35
0003-5769,364
0003-5815,204
0003-598X,616
