JNSM,JScholar,New Comprehensive Biochemistry,Elsevier ,New Frontiers in Ophthalmology,Open Access Text,2397-2092
Oral Health Case Reports,OMICS Publishing Group,2471-8726
Orbit A Journal of American Literature,Open Library of Humanities,2398-6786
ORDO,Walter de Gruyter GmbH,0048-2129
Österreichische Botanische Zeitschrift,Springer-Verlag,0029-8948
Outlook on Agriculture,SAGE Publications,0030-7270
International Journal of Feminist Approaches to Bioethics,University of Toronto Press Inc,Journal of Aquaculture Research & Development,OMICS Publishing Group,2155-9546
Journal of Clinical & Experimental Cardiology,OMICS Publishing Group,2155-9880
Journal of Clinical Research & Governance,Swedish Science Pioneers,2001-5682
Journal of Experimental and Clinical Neurosciences,Swedish Science Pioneers,2001-824X
Journal of Foreign Language Teaching and Applied Linguistics,International Burch University,2303-5528
Journal of Religion and Popular Culture,University of Toronto Press Inc,1703-289X
Journal of Textile Science & Engineering,OMICS Publishing Group,2165-8064
Journal of Restructuring Finance,World Scientific ,1609-9451
JCRF,JScholar,Academy of Management Executive,The Academy of Management,1990-1993
Academy of Management Executive,The Academy of Management,1896-3789
Serbian Journal of Experimental and Clinical Research,Walter de Gruyter GmbH,1820-8665
Contemporary Voice of Dalit,SAGE Publications,2455-328X
Contenciosa,Universidad Nacional del Litoral,2347-0011
AATCC Journal of Research,American Association of Textile Chemists and Colorists - AATCC,2330-5517
Contexto,Universidad La Gran Colombia,2339-3084
Contradictio,Universidade Federal do Parana,1984-574X
Convergence Security,River Publishers,2445-9992
Cooperativismo & Desarrollo,Universidad Cooperativa de Colombia - UCC,0120-7180
Correction Review,Korean Society for Correction Service,1226-6809
Creative Arts in Education and Therapy,Quotus Publishing,2451-876X
CREatividade,Faculdades Catolicas,2446-5712
Criar Educação,Fundacao Educacional de Criciuma- FUCRI,2317-2452
Criterios,Universidad de San Buenaventura,2011-5733
Critical Reviews™ in Biomedical Engineering,Begell House Inc.,1943-619X
Crop Research,OMICS Publishing Group,2454-1761
Cross-Cultural Studies,Center for Cross-Cultural Studies,1598-0685
CRSLS MIS Case Reports from SLS,The Society of Laparoendoscopic Surgeons,2376-9254
digitAR - Revista Digital de Arqueologia Arquitectura e Artes,Coimbra University Press,2182-844X
Dimas Jurnal Pemikiran Agama untuk Pemberdayaan,UIN Walisongo Semarang,1411-9188
discourse Deakin University Library research and practice,Deakin University,2205-0531
