 "?i" ,
 "2325-162X" ,
 "2325-1638" ,
 "2397-2092" ,
 "2471-8726" ,
 "2398-6786" ,
 "0048-2129" ,
 "2366-0481" ,
 "0029-8948" ,
 "2199-6881" ,
 "0030-7270" ,
 "2043-6866" ,
 "2155-9546" ,
 "2155-9880" ,
 "2001-5682" ,
 "2001-824X" ,
 "2303-5528" ,
 "1703-289X" ,
 "2165-8064" ,
 "1609-9451" ,
 "1793-687X" ,
 "1990-1993" ,
 "1896-3789" ,
 "1820-8665" ,
 "2335-075X" ,
 "2455-328X" ,
 "2347-0011" ,
 "2330-5517" ,
 "2339-3084" ,
 "2346-0784" ,
 "1984-574X" ,
 "2445-9992" ,
 "0120-7180" ,
 "2382-4220" ,
 "1226-6809" ,
 "2466-0698" ,
 "2451-876X" ,
 "2446-5712" ,
 "2317-2452" ,
 "2011-5733" ,
 "1943-619X" ,
 "2454-1761" ,
 "1598-0685" ,
 "2376-9254" ,
 "2182-844X" ,
 "1411-9188" ,
 "2502-9428" ,
 "2205-0531" ,
 "0973-9084" ,
 "2472-2200" ,
 "0973-9106" ,
 "0973-9092" ,
 "2377-9519" ,
 "0973-9238" ,
 "2453-7101" ,
 "2356-5314" ,
 "2460-075X" ,
 "1519-8928" ,
 "2316-7874" ,
 "2313-7347" ,
 "2070-4976" ,
 "2494-1271" ,
 "2472-0518" ,
 "1545-4576" ,
 "1557-8526" ,
 "2471-8556" ,
 "2206-6349" ,
 "2367-8194" ,
 "2305-218X" ,
 "1818-4243" ,
 "2079-5939" ,
 "2352-9520" ,
 "2450-7873" ,
 "2450-9930" ,
 "1517-7017" ,
 "2508-2558" ,
 "2508-4887" ,
 "2508-4895" ,
 "2477-5460" ,
 "2528-5106" ,
 "2539-4150" ,
 "2503-4219" ,
 "2503-4227" ,
 "2336-064X" ,
 "2297-6620" ,
 "0973-7510" ,
 "2475-5540" ,
 "1343-2583" ,
 "1881-2562" ,
 "2477-698X" ,
 "0029-800X" ,
 "0974-8466" ,
 "0975-5691" ,
 "2367-3567" ,
 "2367-3575" ,
 "1578-908X" ,
 "2088-9860" ,
 "2020-0064" ,
 "2020-0498" ,
 "1527-6805" ,
 "1057-4514" ,
 "0036-147X" ,
 "0163-576X" ,
 "0163-5816" ,
 "2168-8516" ,
 "1946-6226" ,
 "2167-8375" ,
 "2157-6904" ,
 "2160-6455" ,
 "2158-656X" ,
 "1559-1131" ,
 "1980-7686" ,
 "2171-7788" ,
 "1529-7853" ,
 "2224-0551" ,
 "2307-1168" ,
 "1828-454X" ,
 "0351-2851" ,
 "0365-0588" ,
 "1337-978X" ,
 "1407-981X" ,
 "1678-2674" ,
 "2300-3022" ,
 "2304-3865" ,
 "2304-3873" ,
 "0577-9073" ,
 "0884-4496" ,
 "2308-6122" ,
 "2248-468X" ,
 "0103-5703" ,
 "2447-9799" ,
 "1909-230X" ,
 "2389-7481" ,
 "2093-9965" ,
 "2444-0507" ,
 "2057-4991" ,
 "2464-3726" ,
 "2002-3294" ,
 "2453-7128" ,
 "2459-1459" ,
 "2468-5674" ,
 "2311-9624" ,
 "2415-3036" ,
 "2467-981X" ,
 "1997-6933" ,
 "2500-2139" ,
 "2311-7729" ,
 "2405-8645" ,
 "2465-7786" ,
 "2465-7794" ,
 "1909-941X" ,
 "2389-7848" ,
 "2414-9047" ,
 "2369-6923" ,
 "2369-6931" ,
 "2081-7029" ,
 "2160-5211" ,
 "2382-4018" ,
 "2145-0684" ,
 "2145-9649" ,
 "2245-5744" ,
 "2409-7071" ,
 "2204-1451" ,
 "2206-3374" ,
 "2214-8590" ,
 "2214-594X" ,
 "1588-9645" ,
