2325-162X , 85 , 64 , 6 , 0.09 , 1
2325-1638 , 85 , 64 , 6 , 0.09 , 1
2397-2092 , 61 , 0 , 0 , nan , 0
2471-8726 , 50 , 8 , 0 , 0.0 , 0
2398-6786 , 18 , 0 , 0 , nan , 0
0048-2129 , 614 , 232 , 6 , 0.03 , 1
2366-0481 , 614 , 232 , 6 , 0.03 , 1
0029-8948 , 267 , 0 , 0 , nan , 0
2199-6881 , 730 , 257 , 516 , 2.01 , 8
0030-7270 , 801 , 193 , 298 , 1.54 , 7
2043-6866 , 278 , 0 , 0 , nan , 0
2155-9546 , 453 , 342 , 201 , 0.59 , 6
2155-9880 , 635 , 463 , 123 , 0.27 , 4
2001-5682 , 60 , 58 , 16 , 0.28 , 2
2001-824X , 16 , 8 , 0 , 0.0 , 0
2303-5528 , 155 , 123 , 3 , 0.02 , 1
1703-289X , 409 , 218 , 46 , 0.21 , 3
2165-8064 , 218 , 173 , 18 , 0.1 , 2
1609-9451 , 95 , 0 , 0 , nan , 0
1793-687X , 95 , 0 , 0 , nan , 0
1990-1993 , 0 , 0 , 0 , nan , 0
1896-3789 , 0 , 0 , 0 , nan , 0
1820-8665 , 226 , 144 , 23 , 0.16 , 2
2335-075X , 155 , 73 , 21 , 0.29 , 2
2455-328X , 163 , 72 , 4 , 0.06 , 1
2347-0011 , 44 , 41 , 1 , 0.02 , 1
2330-5517 , 85 , 48 , 34 , 0.71 , 3
2339-3084 , 31 , 12 , 0 , 0.0 , 0
2346-0784 , 31 , 12 , 0 , 0.0 , 0
1984-574X , 31 , 8 , 0 , 0.0 , 0
2445-9992 , 6 , 0 , 0 , nan , 0
0120-7180 , 32 , 31 , 0 , 0.0 , 0
2382-4220 , 1 , 0 , 0 , nan , 0
1226-6809 , 106 , 77 , 0 , 0.0 , 0
2466-0698 , 41 , 12 , 0 , 0.0 , 0
2451-876X , 33 , 10 , 2 , 0.2 , 1
2446-5712 , 50 , 37 , 0 , 0.0 , 0
2317-2452 , 173 , 0 , 0 , nan , 0
2011-5733 , 1 , 0 , 0 , nan , 0
1943-619X , 17 , 17 , 4 , 0.24 , 1
2454-1761 , 6 , 0 , 0 , nan , 0
1598-0685 , 325 , 238 , 3 , 0.01 , 1
2376-9254 , 163 , 149 , 1 , 0.01 , 1
2182-844X , 36 , 35 , 1 , 0.03 , 1
1411-9188 , 30 , 0 , 0 , nan , 0
2502-9428 , 30 , 0 , 0 , nan , 0
2205-0531 , 6 , 2 , 0 , 0.0 , 0
0973-9084 , 142 , 66 , 5 , 0.08 , 1
2472-2200 , 11 , 0 , 0 , nan , 0
0973-9106 , 164 , 67 , 12 , 0.18 , 2
0973-9092 , 165 , 74 , 12 , 0.16 , 2
2377-9519 , 10 , 0 , 0 , nan , 0
0973-9238 , 155 , 65 , 5 , 0.08 , 1
2453-7101 , 16 , 0 , 0 , nan , 0
2356-5314 , 40 , 0 , 0 , nan , 0
2460-075X , 40 , 0 , 0 , nan , 0
1519-8928 , 134 , 134 , 23 , 0.17 , 2
2316-7874 , 168 , 134 , 23 , 0.17 , 2
2313-7347 , 94 , 38 , 1 , 0.03 , 1
2070-4976 , 13 , 0 , 0 , nan , 0
2494-1271 , 981 , 134 , 16 , 0.12 , 2
2472-0518 , 34 , 6 , 0 , 0.0 , 0
1545-4576 , 327 , 20 , 237 , 11.85 , 8
1557-8526 , 315 , 20 , 237 , 11.85 , 8
2471-8556 , 46 , 14 , 0 , 0.0 , 0
2206-6349 , 20 , 0 , 0 , nan , 0
2367-8194 , 9 , 0 , 0 , nan , 0
2305-218X , 232 , 114 , 4 , 0.04 , 1
1818-4243 , 99 , 0 , 0 , nan , 0
2079-5939 , 99 , 0 , 0 , nan , 0
