Journal Name	Uncited Articles	Cited Articles
Journal of Evolution of Medical and Dental Sciences (D)	5505	99
Mediterranean Journal of Social Sciences (D)	5312	150
International Journal of Research in Engineering and Technology (B)	4225	364
International Journal of Engineering Trends and Technology (B)	2447	161
International Journal of Advanced Research (BD)	2584	16
International Journal of Research in Medical Sciences (D)	2182	118
Journal of Evidence Based Medicine and Healthcare (B)	2123	36
International Journal of Reproduction, Contraception, Obstetrics and Gynecology (D)	1678	71
Research Journal of Applied Sciences, Engineering and Technology (D)	1586	144
Eastern-European Journal of Enterprise Technologies (D)	1613	46
International Journal of Advanced Computer Science and Applications (D)	1417	140
International Journal of Medical Science and Public Health (B)	1156	112
International Journal of Current Microbiology and Applied Sciences (B)	1195	66
International Journal of Academic Research in Business and Social Sciences (D)	1100	46
The Journal of Academic Social Science Studies (B)	1031	8
Theory and Practice in Language Studies (D)	910	95
